YEAR,NGTPP
2021,53.7
2020,52.7
2019,54.4
2018,54.2
2017,53.8
2016,55.5
2015,59.2
2014,60.6
2013,63.1
2012,63.3
2011,57.2
2010,60.9
2009,63
2008,65.7
2007,66.1
2006,64.3
2005,62.8
2004,67.7
2003,64.4
2002,65.2
2001,71.5
2000,73.8
1999,69.8
1998,70
1997,66.1
1996,61.1
1995,65.5
1994,72.5
1993,68.3
1992,72
1991,70.6
1990,68
1989,67.6
1988,63.4
1987,69.7
1986,56.5
1985,69.8
1984,64.6
1983,60.5
1982,67.8
1981,76.5
1980,76
1979,77.8
1978,68.5
1977,79.3
1976,80.1
1975,85.1
1974,86.6
1973,98
1972,106.2
1971,105.6
1970,106.3
1969,103.9
1968,105.5
1967,99.7
1966,98.1
1965,90.9
1964,93.5
1963,86
1962,84
1961,82
1960,79.3
