YEAR,PATPP
2021,15.5
2020,13.3
2019,16.7
2018,16.8
2017,16.8
2016,16.5
2015,16.1
2014,15.6
2013,15.8
2012,15.8
2011,16.4
2010,16.9
2009,17.5
2008,18.4
2007,19.6
2006,19.6
2005,19.5
2004,19.3
2003,18.6
2002,19.5
2001,19
2000,19.2
1999,18.7
1998,18.4
1997,18.5
1996,19.2
1995,19.1
1994,19.2
1993,18.5
1992,19.2
1991,19.4
1990,21.2
1989,22.1
1988,22.3
1987,21.6
1986,21.3
1985,21.4
1984,22.4
1983,21.2
1982,20.8
1981,23.5
1980,25.9
1979,28.5
1978,28.5
1977,28.6
1976,26.4
1975,24.8
1974,24.4
1973,26.1
1972,23.9
1971,23.5
1970,22.5
1969,22.4
1968,22.2
1967,21
1966,21
1965,20.1
1964,20
1963,19.4
1962,19.6
1961,20.3
1960,20.5
